s,t,target_dim,target_masked_dim,next_dim,signatures,subalgebra_dim,num_new_gens,last_live_sig,rows_consumed,matrix_bytes,wall_us
6,25,38,11,49,3,4,0,-1,0,304,1081
9,27,19,10,28,1,2,0,-1,0,152,451
14,31,15,8,16,1,2,0,-1,0,120,382
10,28,17,9,21,1,2,1,0,2,136,195
2,27,102,16,32,7,8,0,-1,0,816,2607
15,32,15,8,16,1,2,0,-1,0,120,187
20,36,13,7,15,1,2,0,-1,0,104,326
11,29,17,8,19,1,2,0,-1,0,136,174
12,30,16,8,18,1,2,0,-1,0,128,106
16,33,15,8,16,1,2,0,-1,0,120,289
7,26,37,20,47,1,2,0,-1,0,296,559
17,34,15,8,16,1,2,0,-1,0,120,240
8,27,28,15,43,1,2,0,-1,0,224,316
13,31,16,8,17,1,2,0,-1,0,128,506
18,35,15,8,16,1,2,0,-1,0,120,219
14,32,16,8,17,1,2,0,-1,0,128,107
9,28,21,11,33,1,2,1,0,4,168,240
2,28,111,19,35,7,8,0,-1,0,888,1051
15,33,16,8,17,1,2,0,-1,0,128,198
5,25,50,10,80,7,8,1,5,11,800,1977
16,34,16,8,17,1,2,0,-1,0,128,98
19,36,15,8,16,1,2,0,-1,0,120,264
10,29,20,10,25,1,2,1,0,3,160,392
20,37,15,8,16,1,2,0,-1,0,120,205
11,30,19,10,23,1,2,1,0,3,152,276
3,24,100,20,78,7,8,1,6,25,1600,4620
17,35,16,8,17,1,2,0,-1,0,128,375
6,26,48,17,56,3,4,1,2,10,384,607
18,36,16,8,17,1,2,0,-1,0,128,115
12,31,18,9,23,1,2,0,-1,0,144,209
19,37,16,8,17,1,2,0,-1,0,128,54
20,38,16,8,17,1,2,0,-1,0,128,71
13,32,17,9,21,1,2,0,-1,0,136,321
7,27,44,23,53,1,2,0,-1,0,352,468
14,33,17,9,20,1,2,0,-1,0,136,413
8,28,33,18,49,1,2,0,-1,0,264,445
15,34,17,9,20,1,2,0,-1,0,136,79
4,25,81,15,111,7,8,0,-1,0,1296,1161
3,25,111,16,87,7,8,0,-1,0,1776,1275
16,35,17,9,20,1,2,0,-1,0,136,386
2,29,123,19,37,7,8,0,-1,0,984,2197
9,29,25,14,37,1,2,0,-1,0,200,537
17,36,17,9,20,1,2,0,-1,0,136,186
5,26,56,11,89,7,8,1,6,5,896,641
18,37,17,9,20,1,2,0,-1,0,136,256
10,30,23,13,28,1,2,0,-1,0,184,482
19,38,17,9,20,1,2,0,-1,0,136,366
4,26,89,15,126,7,8,1,6,27,1424,1161
20,39,17,9,20,1,2,0,-1,0,136,169
11,31,23,13,26,1,2,0,-1,0,184,407
6,27,54,10,62,7,8,0,-1,0,432,707
2,30,132,22,41,7,8,0,-1,0,1056,1087
3,26,126,20,97,7,8,0,-1,0,2016,1630
12,32,21,12,26,1,2,0,-1,0,168,513
13,33,20,11,24,1,2,0,-1,0,160,264
7,28,49,17,60,3,4,0,-1,0,392,689
5,27,63,9,104,7,8,0,-1,0,1008,1068
14,34,20,11,22,1,2,0,-1,0,160,356
15,35,20,11,22,1,2,0,-1,0,160,275
8,29,37,19,56,1,2,0,-1,0,296,622
2,31,144,22,45,7,8,0,-1,0,1152,1391
6,28,60,10,74,7,8,0,-1,0,960,563
4,27,104,15,138,7,8,1,6,23,2496,1154
16,36,20,11,22,1,2,0,-1,0,160,339
3,27,138,21,102,7,8,0,-1,0,2208,1849
17,37,20,11,22,1,2,0,-1,0,160,552
9,30,28,14,41,1,2,0,-1,0,224,571
18,38,20,11,22,1,2,0,-1,0,160,144
19,39,20,11,22,1,2,0,-1,0,160,524
10,31,26,13,30,1,2,0,-1,0,208,766
5,28,75,12,115,7,8,1,6,10,1200,1427
7,29,56,17,72,3,4,0,-1,0,896,1310
4,28,115,20,149,7,8,0,-1,0,2760,1465
20,40,20,11,22,1,2,0,-1,0,160,298
11,32,26,13,28,1,2,0,-1,0,208,288
2,32,159,26,47,7,8,1,6,13,1272,2053
12,33,24,12,27,1,2,0,-1,0,192,446
8,30,41,22,64,1,2,1,0,10,328,648
3,28,149,26,111,7,8,0,-1,0,2384,2310
6,29,73,11,84,7,8,1,6,11,1168,1218
9,31,31,16,47,1,2,1,0,6,248,681
5,29,84,14,124,7,8,1,6,22,1344,1341
10,32,29,15,36,1,2,1,0,3,232,412
7,30,65,11,80,7,8,1,6,13,1040,921
11,33,28,14,33,1,2,0,-1,0,224,261
4,29,124,20,165,7,8,0,-1,0,2976,1350
2,33,171,24,51,7,8,1,5,3,1368,1793
6,30,81,14,91,7,8,0,-1,0,1296,1115
12,34,25,13,32,1,2,0,-1,0,200,348
8,31,48,14,72,3,4,1,1,8,768,511
3,29,165,26,123,7,8,0,-1,0,2640,1995
9,32,37,20,53,1,2,2,0,11,296,332
7,31,72,11,89,7,8,0,-1,0,1152,704
13,34,22,11,25,1,2,0,-1,0,176,2613
5,30,91,16,139,7,8,0,-1,0,2184,993
14,35,22,11,23,1,2,0,-1,0,176,120
10,33,35,18,41,1,2,1,0,3,280,396
13,35,23,12,28,1,2,0,-1,0,184,267
15,36,22,11,23,1,2,0,-1,0,176,238
11,34,33,18,39,1,2,1,0,3,264,326
14,36,23,12,26,1,2,0,-1,0,184,255
16,37,22,11,23,1,2,0,-1,0,176,319
2,34,184,22,55,15,16,1,10,5,1472,1747
12,35,29,15,38,1,2,1,0,3,232,422
8,32,53,17,81,3,4,0,-1,0,848,1009
15,37,23,12,26,1,2,0,-1,0,184,423
4,30,139,24,181,7,8,0,-1,0,3336,1443
13,36,27,14,32,1,2,0,-1,0,216,218
3,30,181,31,132,7,8,0,-1,0,4344,1636
16,38,23,12,26,1,2,0,-1,0,184,388
17,38,22,11,23,1,2,0,-1,0,176,673
9,33,41,21,59,1,2,0,-1,0,328,461
6,31,89,14,103,7,8,0,-1,0,1424,1496
17,39,23,12,26,1,2,0,-1,0,184,260
